year,country,region,happiness_score,generosity,healthy_life_expectancy,perceptions_of_corruption,gdp_per_capita,freedom_to_make_life_choices,social_support,temperature
2017,Armenia,Central and Eastern Europe,4.375999928,0.083488092,0.637524426,0.026674422,0.900596738,0.198303267,1.007483721,8.08
2018,Armenia,Central and Eastern Europe,4.321,0.077,0.666,0.028,0.816,0.26,0.99,9.32
2019,Armenia,Central and Eastern Europe,4.559,0.095,0.815,0.064,0.85,0.283,1.055,8.64
2020,Armenia,Central and Eastern Europe,4.676799774,0.107225738,0.77585727,0.104618184,0.808262408,0.378075808,1.034576893,8.41
2021,Armenia,Central and Eastern Europe,5.283,0.079,0.585,0.198,0.996,0.54,0.758,8.81
2022,Armenia,Central and Eastern Europe,5.399,0.054,0.668,0.21,1.434,0.558,0.82,8.64
2015,Australia,North America and ANZ,7.284,0.43562,0.93156,0.35637,1.33358,0.65124,1.30923,22.33
2016,Australia,North America and ANZ,7.313,0.47407,0.8512,0.32331,1.44443,0.56837,1.10476,22.41
2017,Australia,North America and ANZ,7.28399992,0.47769925,0.843886793,0.30118373,1.484414935,0.601607382,1.510041952,22.48
2018,Australia,North America and ANZ,7.272,0.361,0.91,0.302,1.34,0.647,1.573,22.49
2019,Australia,North America and ANZ,7.228,0.332,1.036,0.29,1.372,0.557,1.548,22.78
2020,Australia,North America and ANZ,7.222799778,0.324973613,1.022607684,0.335996419,1.310396433,0.621877193,1.477146268,22.56
2021,Australia,North America and ANZ,7.183,0.291,0.801,0.317,1.453,0.647,1.076,22.05
2022,Australia,North America and ANZ,7.162,0.258,0.772,0.341,1.9,0.676,1.203,21.96
2015,Austria,Western Europe,7.2,0.33088,0.89042,0.18676,1.33723,0.62433,1.29704,8.31
2016,Austria,Western Europe,7.119,0.32865,0.80565,0.21348,1.45038,0.54355,1.08383,7.76
2017,Austria,Western Europe,7.006000042,0.316472322,0.815328419,0.221060365,1.487097263,0.56776619,1.459944963,7.71
2018,Austria,Western Europe,7.139,0.242,0.891,0.224,1.341,0.617,1.504,8.55
2019,Austria,Western Europe,7.246,0.244,1.016,0.226,1.376,0.532,1.475,8.46
2020,Austria,Western Europe,7.294199944,0.255509764,1.000933528,0.281256139,1.317285538,0.603368878,1.437444925,8.25
2021,Austria,Western Europe,7.268,0.215,0.782,0.292,1.492,0.64,1.062,7.41
2022,Austria,Western Europe,7.163,0.193,0.774,0.329,1.931,0.623,1.165,8.65
2015,Azerbaijan,Central and Eastern Europe,5.212,0.07799,0.64045,0.16065,1.02389,0.3703,0.93793,13.55
2016,Azerbaijan,Central and Eastern Europe,5.291,0.0564,0.54504,0.17914,1.12373,0.35327,0.76042,12.93
2017,Azerbaijan,Central and Eastern Europe,5.234000206,0.04526934,0.540775776,0.180987507,1.153601766,0.398155838,1.152400255,13.22
2018,Azerbaijan,Central and Eastern Europe,5.201,0.031,0.603,0.176,1.024,0.43,1.161,14.2
2019,Azerbaijan,Central and Eastern Europe,5.208,0.035,0.769,0.182,1.043,0.351,1.147,13.75
2020,Azerbaijan,Central and Eastern Europe,5.164800167,0.040113214,0.731134057,0.247307181,0.990272701,0.467734724,1.180613041,13.38
2021,Azerbaijan,Central and Eastern Europe,5.171,0.043,0.541,0.276,1.025,0.526,0.841,13.9
2022,Azerbaijan,Central and Eastern Europe,5.173,0.023,0.56,0.341,1.458,0.601,1.093,13.84
2015,Bahrain,Middle East and North Africa,5.96,0.17362,0.74716,0.306,1.32376,0.45492,1.21624,28.31
2016,Bahrain,Middle East and North Africa,6.218,0.17147,0.65696,0.25772,1.44024,0.47375,0.94397,28.43
2017,Bahrain,Middle East and North Africa,6.086999893,0.172668487,0.653133035,0.25704217,1.488412261,0.536746919,1.323110461,28.34
2018,Bahrain,Middle East and North Africa,6.105,0.243,0.698,0.123,1.338,0.594,1.366,28.79
2019,Bahrain,Middle East and North Africa,6.199,0.255,0.871,0.11,1.362,0.536,1.368,28.38
2020,Bahrain,Middle East and North Africa,6.227300167,0.287453711,0.838836372,0.126697257,1.296692252,0.610399902,1.31532371,28.19
2021,Bahrain,Middle East and North Africa,6.647,0.246,0.662,0.139,1.409,0.661,0.899,29.18
2022,Bahrain,Middle East and North Africa,6.647,0.199,0.625,0.155,1.854,0.693,1.029,28.84
2015,Bangladesh,South Asia,4.694,0.21222,0.60164,0.12569,0.39753,0.4082,0.43106,25.44
2016,Bangladesh,South Asia,4.643,0.19132,0.52989,0.12583,0.54177,0.39778,0.24749,25.9
2017,Bangladesh,South Asia,4.607999802,0.172255352,0.533241034,0.123717859,0.586682975,0.478356659,0.735131741,25.67
2018,Bangladesh,South Asia,4.5,0.153,0.579,0.144,0.532,0.58,0.85,25.27
2019,Bangladesh,South Asia,4.456,0.166,0.723,0.143,0.562,0.527,0.928,25.62
2020,Bangladesh,South Asia,4.832799911,0.176745117,0.694940507,0.176735908,0.556156278,0.604130566,0.868800581,25.39
2021,Bangladesh,South Asia,5.025,0.161,0.514,0.164,0.635,0.603,0.52,25.7
2022,Bangladesh,South Asia,5.155,0.125,0.581,0.187,1.06,0.622,0.614,25.74
2015,Belarus,Central and Eastern Europe,5.813,0.11046,0.73608,0.1909,1.03192,0.37938,1.23289,8.67
2016,Belarus,Central and Eastern Europe,5.802,0.13942,0.63104,0.17457,1.13062,0.29091,1.04993,7.81
2017,Belarus,Central and Eastern Europe,5.568999767,0.155137509,0.637714267,0.156313822,1.15655756,0.295400262,1.444945216,7.75
2018,Belarus,Central and Eastern Europe,5.483,0.101,0.7,0.154,1.039,0.307,1.498,8.11
2019,Belarus,Central and Eastern Europe,5.323,0.094,0.789,0.142,1.067,0.235,1.465,8.85
2020,Belarus,Central and Eastern Europe,5.539899826,0.08993306,0.75258857,0.193607435,1.018854499,0.290755868,1.38713932,9.09
2021,Belarus,Central and Eastern Europe,5.534,0.07,0.56,0.199,1.124,0.326,1.007,7.33
2022,Belarus,Central and Eastern Europe,5.821,0.04,0.629,0.282,1.562,0.342,1.157,7.98
2015,Belgium,Western Europe,6.937,0.2225,0.89667,0.2254,1.30782,0.5845,1.28566,11.08
2016,Belgium,Western Europe,6.929,0.2424,0.81959,0.26248,1.42539,0.51354,1.05249,10.76
2017,Belgium,Western Europe,6.890999794,0.231503338,0.818091869,0.251343131,1.463780761,0.539770722,1.462312698,11.07
2018,Belgium,Western Europe,6.927,0.188,0.894,0.24,1.324,0.583,1.483,11.65
2019,Belgium,Western Europe,6.923,0.16,0.986,0.21,1.356,0.473,1.504,11.39
2020,Belgium,Western Europe,6.863500118,0.146966159,0.964901149,0.208724052,1.295842767,0.499805421,1.398677588,11.89
2021,Belgium,Western Europe,6.834,0.088,0.747,0.187,1.463,0.489,0.998,10.48
2022,Belgium,Western Europe,6.805,0.049,0.764,0.204,1.907,0.492,1.106,11.98
2016,Belize,Latin America and Caribbean,5.956,0.23684,0.45569,0.10771,0.87616,0.51231,0.68655,26.32
2017,Belize,Latin America and Caribbean,5.955999851,0.240015641,0.450191766,0.096581072,0.907975316,0.547509372,1.081417799,26.09
2018,Belize,Latin America and Caribbean,5.956,0.183,0.474,0.089,0.807,0.593,1.101,25.53
2015,Benin,Sub-Saharan Africa,3.34,0.1826,0.3191,0.0801,0.28665,0.4845,0.35386,28.27
2016,Benin,Sub-Saharan Africa,3.484,0.2018,0.21028,0.06681,0.39499,0.39747,0.10419,28.53
2017,Benin,Sub-Saharan Africa,3.657000065,0.207948461,0.209930211,0.060929015,0.431085408,0.425962776,0.435299844,28.34
2018,Benin,Sub-Saharan Africa,4.141,0.163,0.24,0.067,0.378,0.44,0.372,28.33
2019,Benin,Sub-Saharan Africa,4.883,0.175,0.397,0.082,0.393,0.349,0.437,28.17
2020,Benin,Sub-Saharan Africa,5.21600008,0.196670428,0.328062952,0.125931874,0.366244704,0.40583989,0.352428436,28.43
2021,Benin,Sub-Saharan Africa,5.045,0.166,0.196,0.178,0.507,0.457,0.058,28.7
2022,Benin,Sub-Saharan Africa,4.623,0.127,0.335,0.23,0.932,0.479,0.064,28.09
2015,Bhutan,South Asia,5.253,0.47998,0.57407,0.15445,0.77042,0.53206,1.10395,10.29
2016,Bhutan,South Asia,5.196,0.48546,0.49759,0.1616,0.8527,0.46074,0.90836,10.71
2017,Bhutan,South Asia,5.011000156,0.474054545,0.495879292,0.17338039,0.885416389,0.501537681,1.340126514,10.66
2018,Bhutan,South Asia,5.082,0.364,0.527,0.171,0.796,0.541,1.335,10.27
2019,Bhutan,South Asia,5.082,0.37,0.604,0.167,0.813,0.457,1.321,10.51
2015,Bolivia,Latin America and Caribbean,5.89,0.20536,0.5392,0.088,0.68133,0.57414,0.97841,21.23
2016,Bolivia,Latin America and Caribbean,5.822,0.21698,0.4697,0.07746,0.79422,0.50961,0.83779,20.87
2017,Bolivia,Latin America and Caribbean,5.822999954,0.225560725,0.47363025,0.060477726,0.833756566,0.558732927,1.227619052,20.95
2018,Bolivia,Latin America and Caribbean,5.752,0.141,0.508,0.054,0.751,0.606,1.223,20.55
2019,Bolivia,Latin America and Caribbean,5.779,0.137,0.706,0.064,0.776,0.511,1.209,20.88
2020,Bolivia,Latin America and Caribbean,5.747499943,0.138375074,0.662445664,0.072942637,0.730976343,0.5744645,1.142350554,21.34
2021,Bolivia,Latin America and Caribbean,5.716,0.138,0.486,0.064,0.842,0.6,0.782,20.8
2022,Bolivia,Latin America and Caribbean,5.6,0.112,0.555,0.064,1.256,0.627,0.88,20.68
2015,Bosnia and Herzegovina,Central and Eastern Europe,4.949,0.24808,0.79081,0.00227,0.83223,0.09245,0.91916,
2016,Bosnia and Herzegovina,Central and Eastern Europe,5.163,0.29889,0.70766,0.0,0.93383,0.09511,0.64367,
2017,Bosnia and Herzegovina,Central and Eastern Europe,5.18200016,0.328867495,0.705186307,0.0,0.982409418,0.204403177,1.069335938,
2018,Bosnia and Herzegovina,Central and Eastern Europe,5.129,0.216,0.758,0.0,0.915,0.28,1.078,
2019,Bosnia and Herzegovina,Central and Eastern Europe,5.386,0.263,0.845,0.006,0.945,0.212,1.212,
2020,Bosnia and Herzegovina,Central and Eastern Europe,5.674099922,0.264005244,0.813928187,0.001172487,0.91839546,0.305365741,1.203986526,
2021,Bosnia and Herzegovina,Central and Eastern Europe,5.813,0.261,0.618,0.005,1.032,0.395,0.919,
2022,Bosnia and Herzegovina,Central and Eastern Europe,5.768,0.244,0.665,0.006,1.468,0.448,1.068,
2015,Botswana,Sub-Saharan Africa,4.332,0.10461,0.04776,0.12474,0.99355,0.49495,1.10464,22.65
2016,Botswana,Sub-Saharan Africa,3.974,0.12425,0.34752,0.10769,1.09426,0.44089,0.89186,22.67
2017,Botswana,Sub-Saharan Africa,3.766000032,0.099348448,0.341755509,0.098583199,1.122094154,0.505196333,1.221554995,22.11
2018,Botswana,Sub-Saharan Africa,3.59,0.042,0.417,0.092,1.017,0.557,1.174,22.3
2019,Botswana,Sub-Saharan Africa,3.488,0.025,0.538,0.1,1.041,0.455,1.145,22.98
2020,Botswana,Sub-Saharan Africa,3.478899956,0.033407487,0.494101733,0.101786368,0.997548997,0.50908941,1.08569479,22.06
2021,Botswana,Sub-Saharan Africa,3.467,0.027,0.34,0.088,1.099,0.539,0.724,21.74
2022,Botswana,Sub-Saharan Africa,3.471,0.012,0.28,0.102,1.503,0.571,0.815,22.0
2015,Brazil,Latin America and Caribbean,6.983,0.14574,0.69702,0.17521,0.98124,0.49049,1.23287,25.97
2016,Brazil,Latin America and Caribbean,6.952,0.15776,0.61415,0.14166,1.08754,0.40425,1.03938,25.84
2017,Brazil,Latin America and Caribbean,6.635000229,0.162349895,0.616552353,0.111092761,1.10735321,0.437453747,1.431306005,25.77
2018,Brazil,Latin America and Caribbean,6.419,0.11,0.675,0.088,0.986,0.493,1.474,25.59
2019,Brazil,Latin America and Caribbean,6.3,0.099,0.802,0.086,1.004,0.39,1.439,25.94
2020,Brazil,Latin America and Caribbean,6.375599861,0.131674588,0.766119063,0.106518604,0.952679873,0.483292729,1.363464117,25.93
2021,Brazil,Latin America and Caribbean,6.33,0.142,0.571,0.117,1.028,0.514,0.944,25.57
2022,Brazil,Latin America and Caribbean,6.293,0.131,0.615,0.134,1.462,0.546,1.044,25.54
2015,Bulgaria,Central and Eastern Europe,4.218,0.11921,0.76649,0.00872,1.01216,0.30587,1.10614,11.85
2016,Bulgaria,Central and Eastern Europe,4.217,0.12793,0.67806,0.00615,1.11306,0.21219,0.92542,11.9
2017,Bulgaria,Central and Eastern Europe,4.714000225,0.113177694,0.70821768,0.011051531,1.161459088,0.289231718,1.434379458,11.75
2018,Bulgaria,Central and Eastern Europe,4.933,0.064,0.712,0.009,1.054,0.359,1.515,12.34
2019,Bulgaria,Central and Eastern Europe,5.011,0.081,0.815,0.004,1.092,0.311,1.513,12.81
2020,Bulgaria,Central and Eastern Europe,5.101500034,0.103833713,0.777776897,0.0,1.046554685,0.417820066,1.460578918,12.49
2021,Bulgaria,Central and Eastern Europe,5.266,0.125,0.583,0.005,1.181,0.494,1.055,11.97
2022,Bulgaria,Central and Eastern Europe,5.371,0.123,0.64,0.021,1.625,0.563,1.163,12.28
2015,Burkina Faso,Sub-Saharan Africa,3.587,0.21747,0.27125,0.12832,0.25812,0.39493,0.85188,
2016,Burkina Faso,Sub-Saharan Africa,3.739,0.24353,0.21297,0.12533,0.31995,0.3337,0.63054,
2017,Burkina Faso,Sub-Saharan Africa,4.032000065,0.250864685,0.215844259,0.120328106,0.350227714,0.324367851,1.043280005,
2018,Burkina Faso,Sub-Saharan Africa,4.424,0.175,0.254,0.128,0.314,0.312,1.097,
2019,Burkina Faso,Sub-Saharan Africa,4.587,0.177,0.38,0.113,0.331,0.255,1.056,
2020,Burkina Faso,Sub-Saharan Africa,4.768700123,0.186390609,0.312833875,0.126408055,0.302467644,0.322398156,0.9293859,
2021,Burkina Faso,Sub-Saharan Africa,4.834,0.182,0.179,0.122,0.364,0.381,0.472,
2022,Burkina Faso,Sub-Saharan Africa,4.67,0.186,0.32,0.126,0.779,0.382,0.565,
2015,Burundi,Sub-Saharan Africa,2.905,0.19727,0.22396,0.10062,0.0153,0.1185,0.41587,20.44
2016,Burundi,Sub-Saharan Africa,2.905,0.2029,0.15747,0.09419,0.06831,0.0432,0.23442,20.66
2017,Burundi,Sub-Saharan Africa,2.904999971,0.204435185,0.151610792,0.084147945,0.091622569,0.059900753,0.629793584,20.88
2018,Burundi,Sub-Saharan Africa,2.905,0.149,0.145,0.076,0.091,0.065,0.627,20.38
2019,Burundi,Sub-Saharan Africa,3.775,0.176,0.38,0.18,0.046,0.22,0.447,20.61
2020,Burundi,Sub-Saharan Africa,3.775300026,0.187401786,0.295212835,0.212186828,0.0,0.275399059,0.403575271,20.42
2021,Burundi,Sub-Saharan Africa,3.775,0.172,0.155,0.212,0.0,0.298,0.062,20.51
2015,Cambodia,Southeast Asia,3.819,0.40359,0.61114,0.07247,0.46038,0.66246,0.62736,27.8
2016,Cambodia,Southeast Asia,3.907,0.40339,0.42494,0.08092,0.55604,0.58852,0.5375,27.97
2017,Cambodia,Southeast Asia,4.168000221,0.385922968,0.429783404,0.068105951,0.601765096,0.633375823,1.006238341,27.45
2018,Cambodia,Southeast Asia,4.433,0.256,0.457,0.065,0.549,0.696,1.088,27.47
2019,Cambodia,Southeast Asia,4.7,0.232,0.637,0.062,0.574,0.609,1.122,27.99
2020,Cambodia,Southeast Asia,4.848400116,0.233342081,0.587904334,0.072837502,0.544634938,0.674940348,1.071426034,27.89
2021,Cambodia,Southeast Asia,4.83,0.21,0.426,0.061,0.603,0.702,0.68,27.44
2022,Cambodia,Southeast Asia,4.64,0.166,0.505,0.068,1.019,0.74,0.732,27.25
2015,Cameroon,Sub-Saharan Africa,4.252,0.20618,0.23402,0.05786,0.4225,0.49309,0.88767,24.94
2016,Cameroon,Sub-Saharan Africa,4.513,0.2268,0.12698,0.06126,0.52497,0.42736,0.62542,25.2
2017,Cameroon,Sub-Saharan Africa,4.695000172,0.236298457,0.132892117,0.051306631,0.564305365,0.430388749,0.946018219,24.93
2018,Cameroon,Sub-Saharan Africa,4.975,0.183,0.182,0.043,0.535,0.454,0.891,24.93
2019,Cameroon,Sub-Saharan Africa,5.044,0.187,0.331,0.037,0.549,0.381,0.91,24.87
2020,Cameroon,Sub-Saharan Africa,5.084899902,0.198020101,0.270189553,0.054393422,0.503958046,0.439242482,0.89972645,25.21
2021,Cameroon,Sub-Saharan Africa,5.142,0.205,0.159,0.058,0.543,0.425,0.556,25.2
2022,Cameroon,Sub-Saharan Africa,5.048,0.152,0.317,0.074,0.968,0.397,0.672,24.94
2015,Canada,North America and ANZ,7.427,0.45811,0.90563,0.32957,1.32629,0.63297,1.32261,-3.88
2016,Canada,North America and ANZ,7.404,0.44834,0.8276,0.31329,1.44015,0.5737,1.0961,-3.19
2017,Canada,North America and ANZ,7.315999985,0.435539722,0.834557652,0.287371516,1.479204416,0.611100912,1.481348991,-3.76
2018,Canada,North America and ANZ,7.328,0.321,0.896,0.291,1.33,0.653,1.532,-4.62
2019,Canada,North America and ANZ,7.278,0.285,1.039,0.308,1.365,0.584,1.505,-4.33
2020,Canada,North America and ANZ,7.23210001,0.28152892,1.022501945,0.351701856,1.301647663,0.644028127,1.435391903,-4.25
2021,Canada,North America and ANZ,7.103,0.246,0.798,0.335,1.447,0.648,1.044,-3.7
2022,Canada,North America and ANZ,7.025,0.217,0.783,0.368,1.886,0.659,1.188,-4.22
2015,Central African Republic,Sub-Saharan Africa,3.678,0.23835,0.06699,0.08289,0.0785,0.48879,0.0,25.58
2017,Central African Republic,Sub-Saharan Africa,2.693000078,0.280876487,0.018772686,0.056565076,0.0,0.270842046,0.0,25.5
2018,Central African Republic,Sub-Saharan Africa,3.083,0.218,0.01,0.038,0.024,0.305,0.0,25.45
2019,Central African Republic,Sub-Saharan Africa,3.083,0.235,0.105,0.035,0.026,0.225,0.0,25.7
2020,Central African Republic,Sub-Saharan Africa,3.475899935,0.253513217,0.0,0.028264718,0.041072082,0.292814463,0.0,25.67
2015,Chad,Sub-Saharan Africa,3.667,0.18386,0.1501,0.05269,0.34193,0.23501,0.76062,27.69
2016,Chad,Sub-Saharan Africa,3.763,0.18667,0.03824,0.04952,0.42214,0.12807,0.63178,27.96
2017,Chad,Sub-Saharan Africa,3.936000109,0.21611385,0.041134715,0.053581882,0.438012987,0.162342027,0.953855872,27.59
2018,Chad,Sub-Saharan Africa,4.301,0.181,0.053,0.06,0.358,0.189,0.907,27.61
2019,Chad,Sub-Saharan Africa,4.35,0.198,0.192,0.078,0.35,0.174,0.766,27.76
2020,Chad,Sub-Saharan Africa,4.422699928,0.210805088,0.1087441,0.085755408,0.302287489,0.228601769,0.739118278,27.35
2021,Chad,Sub-Saharan Africa,4.355,0.215,0.0,0.084,0.255,0.24,0.353,27.7
2022,Chad,Sub-Saharan Africa,4.251,0.182,0.225,0.077,0.662,0.18,0.506,27.28
2015,Chile,Latin America and Caribbean,6.67,0.33363,0.85857,0.12869,1.10715,0.44132,1.12447,9.74
2016,Chile,Latin America and Caribbean,6.705,0.31595,0.81883,0.11451,1.2167,0.37789,0.90587,9.75
2017,Chile,Latin America and Caribbean,6.65199995,0.326662421,0.819479704,0.082287982,1.25278461,0.376895279,1.284024954,9.77
2018,Chile,Latin America and Caribbean,6.476,0.197,0.808,0.061,1.131,0.431,1.331,9.47
2019,Chile,Latin America and Caribbean,6.444,0.187,0.92,0.056,1.159,0.357,1.369,9.56
2020,Chile,Latin America and Caribbean,6.228499889,0.155579001,0.889260828,0.06284935,1.096992493,0.417482227,1.323286891,9.87
2021,Chile,Latin America and Caribbean,6.172,0.159,0.678,0.07,1.2,0.438,0.946,9.81
2022,Chile,Latin America and Caribbean,6.172,0.124,0.748,0.069,1.651,0.46,1.08,9.37
2015,China,East Asia,5.14,0.08185,0.81658,0.02781,0.89012,0.51697,0.94675,
2016,China,East Asia,5.245,0.04959,0.73561,0.02745,1.0278,0.44012,0.79381,
2017,China,East Asia,5.272999763,0.028806841,0.741415501,0.022794275,1.081165791,0.472787708,1.160837412,
2018,China,East Asia,5.246,0.029,0.799,0.103,0.989,0.597,1.142,
2019,China,East Asia,5.191,0.058,0.893,0.1,1.029,0.521,1.125,
2020,China,East Asia,5.123899937,0.079021044,0.867248535,0.117255554,0.990533412,0.601605117,1.132080674,
2021,China,East Asia,5.339,0.093,0.665,0.117,1.061,0.636,0.785,
2022,China,East Asia,5.585,0.099,0.705,0.142,1.508,0.656,0.958,
2015,Colombia,Latin America and Caribbean,6.477,0.18401,0.69077,0.0512,0.91861,0.53466,1.24018,25.62
2016,Colombia,Latin America and Caribbean,6.481,0.15626,0.59659,0.05399,1.03032,0.44735,1.02169,25.62
2017,Colombia,Latin America and Caribbean,6.356999874,0.149014473,0.595027924,0.046668742,1.070622325,0.477487415,1.402182937,25.11
2018,Colombia,Latin America and Caribbean,6.26,0.099,0.635,0.039,0.96,0.531,1.439,25.03
2019,Colombia,Latin America and Caribbean,6.125,0.099,0.841,0.034,0.985,0.47,1.41,25.42
2020,Colombia,Latin America and Caribbean,6.163400173,0.092374094,0.810020149,0.04584837,0.93220371,0.526890039,1.33445096,25.35
2021,Colombia,Latin America and Caribbean,6.012,0.1,0.615,0.063,1.021,0.554,0.866,24.97
2022,Colombia,Latin America and Caribbean,5.781,0.087,0.72,0.077,1.452,0.545,0.929,24.71
2015,Comoros,Sub-Saharan Africa,3.956,0.17441,0.36315,0.199,0.23906,0.22917,0.79273,24.03
2016,Comoros,Sub-Saharan Africa,3.956,0.1827,0.29981,0.18437,0.27509,0.15412,0.60323,23.82
2019,Comoros,Sub-Saharan Africa,3.973,0.275,0.505,0.078,0.274,0.142,0.757,24.22
2020,Comoros,Sub-Saharan Africa,4.288599968,0.258538276,0.437383324,0.100048535,0.415620774,0.181028232,0.723232806,24.16
2021,Comoros,Sub-Saharan Africa,4.289,0.241,0.279,0.101,0.488,0.202,0.367,23.92
2022,Comoros,Sub-Saharan Africa,4.609,0.195,0.424,0.125,0.899,0.185,0.476,23.74
2015,Congo,Sub-Saharan Africa,3.989,0.12388,0.31051,0.11686,0.67866,0.41466,0.6629,
2016,Congo,Sub-Saharan Africa,4.236,0.12077,0.28212,0.09753,0.77109,0.37938,0.47799,
2017,Congo,Sub-Saharan Africa,4.290999889,0.120852128,0.289957434,0.079618134,0.808964252,0.435025871,0.832044363,
2018,Congo,Sub-Saharan Africa,4.559,0.091,0.343,0.077,0.682,0.514,0.811,
2019,Congo,Sub-Saharan Africa,4.812,0.105,0.508,0.093,0.673,0.372,0.799,
2020,Congo,Sub-Saharan Africa,5.194399834,0.117216013,0.458101124,0.118670784,0.633616745,0.386514395,0.757636011,
2021,Congo,Sub-Saharan Africa,5.342,0.144,0.307,0.124,0.518,0.381,0.392,
2022,Congo,Sub-Saharan Africa,5.075,0.13,0.355,0.146,0.95,0.431,0.405,
2015,Congo (Kinshasa),Sub-Saharan Africa,4.517,0.24834,0.09806,0.07625,0.0,0.22605,1.0012,
2016,Congo (Kinshasa),Sub-Saharan Africa,4.272,0.25458,0.188,0.06075,0.05661,0.15602,0.80676,
2017,Congo (Kinshasa),Sub-Saharan Africa,4.28000021,0.246455833,0.191407025,0.060241356,0.092102349,0.235961348,1.229023457,
2018,Congo (Kinshasa),Sub-Saharan Africa,4.245,0.197,0.204,0.052,0.069,0.312,1.136,
2019,Congo (Kinshasa),Sub-Saharan Africa,4.418,0.212,0.357,0.053,0.094,0.269,1.125,
