year,country,region,happiness_score,healthy_life_expectancy,social_support,generosity,gdp_per_capita,perceptions_of_corruption,freedom_to_make_life_choices,temperature,fertility_rate
2017,Cambodia,Southeast Asia,4.168000221,0.429783404,1.006238341,0.385922968,0.601765096,0.068105951,0.633375823,27.45,2.322
2018,Cambodia,Southeast Asia,4.433,0.457,1.088,0.256,0.549,0.065,0.696,27.47,2.322
2019,Cambodia,Southeast Asia,4.7,0.637,1.122,0.232,0.574,0.062,0.609,27.99,2.322
2020,Cambodia,Southeast Asia,4.848400116,0.587904334,1.071426034,0.233342081,0.544634938,0.072837502,0.674940348,27.89,2.322
2021,Cambodia,Southeast Asia,4.83,0.426,0.68,0.21,0.603,0.061,0.702,27.44,2.322
2022,Cambodia,Southeast Asia,4.64,0.505,0.732,0.166,1.019,0.068,0.74,27.25,2.322
2015,Cameroon,Sub-Saharan Africa,4.252,0.23402,0.88767,0.20618,0.4225,0.05786,0.49309,24.94,4.383
2016,Cameroon,Sub-Saharan Africa,4.513,0.12698,0.62542,0.2268,0.52497,0.06126,0.42736,25.2,4.383
2017,Cameroon,Sub-Saharan Africa,4.695000172,0.132892117,0.946018219,0.236298457,0.564305365,0.051306631,0.430388749,24.93,4.383
2018,Cameroon,Sub-Saharan Africa,4.975,0.182,0.891,0.183,0.535,0.043,0.454,24.93,4.383
2019,Cameroon,Sub-Saharan Africa,5.044,0.331,0.91,0.187,0.549,0.037,0.381,24.87,4.383
2020,Cameroon,Sub-Saharan Africa,5.084899902,0.270189553,0.89972645,0.198020101,0.503958046,0.054393422,0.439242482,25.21,4.383
2021,Cameroon,Sub-Saharan Africa,5.142,0.159,0.556,0.205,0.543,0.058,0.425,25.2,4.383
2022,Cameroon,Sub-Saharan Africa,5.048,0.317,0.672,0.152,0.968,0.074,0.397,24.94,4.383
2015,Canada,North America and ANZ,7.427,0.90563,1.32261,0.45811,1.32629,0.32957,0.63297,-3.88,1.33
2016,Canada,North America and ANZ,7.404,0.8276,1.0961,0.44834,1.44015,0.31329,0.5737,-3.19,1.33
2017,Canada,North America and ANZ,7.315999985,0.834557652,1.481348991,0.435539722,1.479204416,0.287371516,0.611100912,-3.76,1.33
2018,Canada,North America and ANZ,7.328,0.896,1.532,0.321,1.33,0.291,0.653,-4.62,1.33
2019,Canada,North America and ANZ,7.278,1.039,1.505,0.285,1.365,0.308,0.584,-4.33,1.33
2020,Canada,North America and ANZ,7.23210001,1.022501945,1.435391903,0.28152892,1.301647663,0.351701856,0.644028127,-4.25,1.33
2021,Canada,North America and ANZ,7.103,0.798,1.044,0.246,1.447,0.335,0.648,-3.7,1.33
2022,Canada,North America and ANZ,7.025,0.783,1.188,0.217,1.886,0.368,0.659,-4.22,1.33
2015,Chad,Sub-Saharan Africa,3.667,0.1501,0.76062,0.18386,0.34193,0.05269,0.23501,27.69,6.215
2016,Chad,Sub-Saharan Africa,3.763,0.03824,0.63178,0.18667,0.42214,0.04952,0.12807,27.96,6.215
2017,Chad,Sub-Saharan Africa,3.936000109,0.041134715,0.953855872,0.21611385,0.438012987,0.053581882,0.162342027,27.59,6.215
2018,Chad,Sub-Saharan Africa,4.301,0.053,0.907,0.181,0.358,0.06,0.189,27.61,6.215
2019,Chad,Sub-Saharan Africa,4.35,0.192,0.766,0.198,0.35,0.078,0.174,27.76,6.215
2020,Chad,Sub-Saharan Africa,4.422699928,0.1087441,0.739118278,0.210805088,0.302287489,0.085755408,0.228601769,27.35,6.215
2021,Chad,Sub-Saharan Africa,4.355,0.11545983071428571,0.353,0.215,0.255,0.084,0.24,27.7,6.215
2022,Chad,Sub-Saharan Africa,4.251,0.225,0.506,0.182,0.662,0.077,0.18,27.28,6.215
2015,Chile,Latin America and Caribbean,6.67,0.85857,1.12447,0.33363,1.10715,0.12869,0.44132,9.74,1.539
2016,Chile,Latin America and Caribbean,6.705,0.81883,0.90587,0.31595,1.2167,0.11451,0.37789,9.75,1.539
2017,Chile,Latin America and Caribbean,6.65199995,0.819479704,1.284024954,0.326662421,1.25278461,0.082287982,0.376895279,9.77,1.539
2018,Chile,Latin America and Caribbean,6.476,0.808,1.331,0.197,1.131,0.061,0.431,9.47,1.539
2019,Chile,Latin America and Caribbean,6.444,0.92,1.369,0.187,1.159,0.056,0.357,9.56,1.539
2020,Chile,Latin America and Caribbean,6.228499889,0.889260828,1.323286891,0.155579001,1.096992493,0.06284935,0.417482227,9.87,1.539
2021,Chile,Latin America and Caribbean,6.172,0.678,0.946,0.159,1.2,0.07,0.438,9.81,1.539
2022,Chile,Latin America and Caribbean,6.172,0.748,1.08,0.124,1.651,0.069,0.46,9.37,1.539
2015,China,East Asia,5.14,0.81658,0.94675,0.08185,0.89012,0.02781,0.51697,-1.0,1.175
2016,China,East Asia,5.245,0.73561,0.79381,0.04959,1.0278,0.02745,0.44012,-1.0,1.175
2017,China,East Asia,5.272999763,0.741415501,1.160837412,0.028806841,1.081165791,0.022794275,0.472787708,-1.0,1.175
2018,China,East Asia,5.246,0.799,1.142,0.029,0.989,0.103,0.597,-1.0,1.175
2019,China,East Asia,5.191,0.893,1.125,0.058,1.029,0.1,0.521,-1.0,1.175
2020,China,East Asia,5.123899937,0.867248535,1.132080674,0.079021044,0.990533412,0.117255554,0.601605117,-1.0,1.175
2021,China,East Asia,5.339,0.665,0.785,0.093,1.061,0.117,0.636,-1.0,1.175
2022,China,East Asia,5.585,0.705,0.958,0.099,1.508,0.142,0.656,-1.0,1.175
2015,Colombia,Latin America and Caribbean,6.477,0.69077,1.24018,0.18401,0.91861,0.0512,0.53466,25.62,1.692
2016,Colombia,Latin America and Caribbean,6.481,0.59659,1.02169,0.15626,1.03032,0.05399,0.44735,25.62,1.692
2017,Colombia,Latin America and Caribbean,6.356999874,0.595027924,1.402182937,0.149014473,1.070622325,0.046668742,0.477487415,25.11,1.692
2018,Colombia,Latin America and Caribbean,6.26,0.635,1.439,0.099,0.96,0.039,0.531,25.03,1.692
2019,Colombia,Latin America and Caribbean,6.125,0.841,1.41,0.099,0.985,0.034,0.47,25.42,1.692
2020,Colombia,Latin America and Caribbean,6.163400173,0.810020149,1.33445096,0.092374094,0.93220371,0.04584837,0.526890039,25.35,1.692
2021,Colombia,Latin America and Caribbean,6.012,0.615,0.866,0.1,1.021,0.063,0.554,24.97,1.692
2022,Colombia,Latin America and Caribbean,5.781,0.72,0.929,0.087,1.452,0.077,0.545,24.71,1.692
2015,Congo,Sub-Saharan Africa,3.989,0.31051,0.6629,0.12388,0.67866,0.11686,0.41466,24.33,4.095
2016,Congo,Sub-Saharan Africa,4.236,0.28212,0.47799,0.12077,0.77109,0.09753,0.37938,24.54,4.095
2017,Congo,Sub-Saharan Africa,4.290999889,0.289957434,0.832044363,0.120852128,0.808964252,0.079618134,0.435025871,24.41,4.095
2018,Congo,Sub-Saharan Africa,4.559,0.343,0.811,0.091,0.682,0.077,0.514,24.32,4.095
2019,Congo,Sub-Saharan Africa,4.812,0.508,0.799,0.105,0.673,0.093,0.372,24.37,4.095
2020,Congo,Sub-Saharan Africa,5.194399834,0.458101124,0.757636011,0.117216013,0.633616745,0.118670784,0.386514395,24.48,4.095
2021,Congo,Sub-Saharan Africa,5.342,0.307,0.392,0.144,0.518,0.124,0.381,24.46,4.095
2022,Congo,Sub-Saharan Africa,5.075,0.355,0.405,0.13,0.95,0.146,0.431,24.38,4.095
2015,Costa Rica,Latin America and Caribbean,7.226,0.86027,1.23788,0.25497,0.95578,0.10583,0.63376,25.11,1.522
2016,Costa Rica,Latin America and Caribbean,7.087,0.76146,1.02152,0.22553,1.06879,0.10547,0.55225,25.13,1.522
2017,Costa Rica,Latin America and Caribbean,7.078999996,0.759509265,1.416403651,0.214613229,1.109706283,0.100106589,0.58013165,24.91,1.522
2018,Costa Rica,Latin America and Caribbean,7.072,0.817,1.459,0.143,1.01,0.101,0.632,24.51,1.522
2019,Costa Rica,Latin America and Caribbean,7.167,0.963,1.441,0.144,1.034,0.093,0.558,24.87,1.522
2020,Costa Rica,Latin America and Caribbean,7.121399879,0.939635336,1.374853611,0.131266311,0.981107712,0.096362092,0.645017743,25.07,1.522
2021,Costa Rica,Latin America and Caribbean,7.069,0.722,0.966,0.105,1.134,0.083,0.673,24.89,1.522
2022,Costa Rica,Latin America and Caribbean,6.582,0.744,1.054,0.089,1.584,0.102,0.661,24.64,1.522
2015,Croatia,Central and Eastern Europe,5.759,0.78805,0.79624,0.05444,1.08254,0.0243,0.25883,12.67,1.53
2016,Croatia,Central and Eastern Europe,5.488,0.70524,0.60809,0.18434,1.18649,0.04002,0.23907,12.26,1.53
2017,Croatia,Central and Eastern Europe,5.293000221,0.701288521,0.967983007,0.248002976,1.222556233,0.04310311,0.255772293,12.29,1.53
2018,Croatia,Central and Eastern Europe,5.321,0.737,1.161,0.12,1.115,0.039,0.38,13.08,1.53
2019,Croatia,Central and Eastern Europe,5.432,0.914,1.266,0.119,1.155,0.022,0.296,13.16,1.53
2020,Croatia,Central and Eastern Europe,5.504700184,0.900575578,1.311264873,0.113998979,1.109024286,0.012325006,0.381456882,12.62,1.53
2021,Croatia,Central and Eastern Europe,5.882,0.703,1.039,0.111,1.251,0.030124686,0.453,12.19,1.53
2022,Croatia,Central and Eastern Europe,6.125,0.709,1.183,0.109,1.705,0.030124686,0.535,13.16,1.53
