year,country,region,happiness_score,healthy_life_expectancy,perceptions_of_corruption,freedom_to_make_life_choices,social_support,gdp_per_capita,generosity,temperature,fertility_rate,population
2017,Armenia,Central and Eastern Europe,4.375999928,0.637524426,0.026674422,0.198303267,1.007483721,0.900596738,0.083488092,8.08,1.562,2851923.0
2018,Armenia,Central and Eastern Europe,4.321,0.666,0.028,0.26,0.99,0.816,0.077,9.32,1.572,2836557.0
2019,Armenia,Central and Eastern Europe,4.559,0.815,0.064,0.283,1.055,0.85,0.095,8.64,1.575,2820602.0
2020,Armenia,Central and Eastern Europe,4.676799774,0.77585727,0.104618184,0.378075808,1.034576893,0.808262408,0.107225738,8.41,1.575,2805608.0
2021,Armenia,Central and Eastern Europe,5.283,0.585,0.198,0.54,0.758,0.996,0.079,8.81,1.575,2790974.0
2022,Armenia,Central and Eastern Europe,5.399,0.668,0.21,0.558,0.82,1.434,0.054,8.64,1.575,2780469.0
2015,Australia,North America and ANZ,7.284,0.93156,0.35637,0.65124,1.30923,1.33358,0.43562,22.33,1.814,23815995.0
2016,Australia,North America and ANZ,7.313,0.8512,0.32331,0.56837,1.10476,1.44443,0.47407,22.41,1.752,24190907.0
2017,Australia,North America and ANZ,7.28399992,0.843886793,0.30118373,0.601607382,1.510041952,1.484414935,0.47769925,22.48,1.741,24592588.0
2018,Australia,North America and ANZ,7.272,0.91,0.302,0.647,1.573,1.34,0.361,22.49,1.74,24963258.0
2019,Australia,North America and ANZ,7.228,1.036,0.29,0.557,1.548,1.372,0.332,22.78,1.657,25334826.0
2020,Australia,North America and ANZ,7.222799778,1.022607684,0.335996419,0.621877193,1.477146268,1.310396433,0.324973613,22.56,1.581,25649248.0
2021,Australia,North America and ANZ,7.183,0.801,0.317,0.647,1.076,1.453,0.291,22.05,1.7,25685412.0
2022,Australia,North America and ANZ,7.162,0.772,0.341,0.676,1.203,1.9,0.258,21.96,1.63,26014399.0
2015,Austria,Western Europe,7.2,0.89042,0.18676,0.62433,1.29704,1.33723,0.33088,8.31,1.49,8642699.0
2016,Austria,Western Europe,7.119,0.80565,0.21348,0.54355,1.08383,1.45038,0.32865,7.76,1.53,8736668.0
2017,Austria,Western Europe,7.006000042,0.815328419,0.221060365,0.56776619,1.459944963,1.487097263,0.316472322,7.71,1.52,8797566.0
2018,Austria,Western Europe,7.139,0.891,0.224,0.617,1.504,1.341,0.242,8.55,1.47,8840521.0
2019,Austria,Western Europe,7.246,1.016,0.226,0.532,1.475,1.376,0.244,8.46,1.46,8879920.0
2020,Austria,Western Europe,7.294199944,1.000933528,0.281256139,0.603368878,1.437444925,1.317285538,0.255509764,8.25,1.44,8916864.0
2021,Austria,Western Europe,7.268,0.782,0.292,0.64,1.062,1.492,0.215,7.41,1.48,8955797.0
2022,Austria,Western Europe,7.163,0.774,0.329,0.623,1.165,1.931,0.193,8.65,1.41,9041851.0
2015,Azerbaijan,Central and Eastern Europe,5.212,0.64045,0.16065,0.3703,0.93793,1.02389,0.07799,13.55,1.94,9649341.0
2016,Azerbaijan,Central and Eastern Europe,5.291,0.54504,0.17914,0.35327,0.76042,1.12373,0.0564,12.93,1.9,9757812.0
2017,Azerbaijan,Central and Eastern Europe,5.234000206,0.540775776,0.180987507,0.398155838,1.152400255,1.153601766,0.04526934,13.22,1.75,9854033.0
2018,Azerbaijan,Central and Eastern Europe,5.201,0.603,0.176,0.43,1.161,1.024,0.031,14.2,1.73,9939771.0
2019,Azerbaijan,Central and Eastern Europe,5.208,0.769,0.182,0.351,1.147,1.043,0.035,13.75,1.81,10024283.0
2020,Azerbaijan,Central and Eastern Europe,5.164800167,0.731134057,0.247307181,0.467734724,1.180613041,0.990272701,0.040113214,13.38,1.7,10093121.0
2021,Azerbaijan,Central and Eastern Europe,5.171,0.541,0.276,0.526,0.841,1.025,0.043,13.9,1.52,10137750.0
2022,Azerbaijan,Central and Eastern Europe,5.173,0.56,0.341,0.601,1.093,1.458,0.023,13.84,1.67,10141756.0
2015,Bahrain,Middle East and North Africa,5.96,0.74716,0.306,0.45492,1.21624,1.32376,0.17362,28.31,2.131,1362142.0
2016,Bahrain,Middle East and North Africa,6.218,0.65696,0.25772,0.47375,0.94397,1.44024,0.17147,28.43,2.073,1409661.0
2017,Bahrain,Middle East and North Africa,6.086999893,0.653133035,0.25704217,0.536746919,1.323110461,1.488412261,0.172668487,28.34,2.006,1456834.0
2018,Bahrain,Middle East and North Africa,6.105,0.698,0.123,0.594,1.366,1.338,0.243,28.79,1.93,1487340.0
2019,Bahrain,Middle East and North Africa,6.199,0.871,0.11,0.536,1.368,1.362,0.255,28.38,1.857,1494188.0
2020,Bahrain,Middle East and North Africa,6.227300167,0.838836372,0.126697257,0.610399902,1.31532371,1.296692252,0.287453711,28.19,1.832,1477469.0
2021,Bahrain,Middle East and North Africa,6.647,0.662,0.139,0.661,0.899,1.409,0.246,29.18,1.811,1463265.0
2022,Bahrain,Middle East and North Africa,6.647,0.625,0.155,0.693,1.029,1.854,0.199,28.84,1.797,1472233.0
2015,Bangladesh,South Asia,4.694,0.60164,0.12569,0.4082,0.43106,0.39753,0.21222,25.44,2.114,157830000.0
2016,Bangladesh,South Asia,4.643,0.52989,0.12583,0.39778,0.24749,0.54177,0.19132,25.9,2.097,159784568.0
2017,Bangladesh,South Asia,4.607999802,0.533241034,0.123717859,0.478356659,0.735131741,0.586682975,0.172255352,25.67,2.043,161793964.0
2018,Bangladesh,South Asia,4.5,0.579,0.144,0.58,0.85,0.532,0.153,25.27,2.04,163683958.0
2019,Bangladesh,South Asia,4.456,0.723,0.143,0.527,0.928,0.562,0.166,25.62,2.031,165516222.0
2020,Bangladesh,South Asia,4.832799911,0.694940507,0.176735908,0.604130566,0.868800581,0.556156278,0.176745117,25.39,2.003,167420951.0
2021,Bangladesh,South Asia,5.025,0.514,0.164,0.603,0.52,0.635,0.161,25.7,1.981,169356251.0
2022,Bangladesh,South Asia,5.155,0.581,0.187,0.622,0.614,1.06,0.125,25.74,1.95,171186372.0
2015,Belarus,Central and Eastern Europe,5.813,0.73608,0.1909,0.37938,1.23289,1.03192,0.11046,8.67,1.724,9461076.0
2016,Belarus,Central and Eastern Europe,5.802,0.63104,0.17457,0.29091,1.04993,1.13062,0.13942,7.81,1.733,9469379.0
2017,Belarus,Central and Eastern Europe,5.568999767,0.637714267,0.156313822,0.295400262,1.444945216,1.15655756,0.155137509,7.75,1.541,9458989.0
2018,Belarus,Central and Eastern Europe,5.483,0.7,0.154,0.307,1.498,1.039,0.101,8.11,1.448,9438785.0
2019,Belarus,Central and Eastern Europe,5.323,0.789,0.142,0.235,1.465,1.067,0.094,8.85,1.382,9419758.0
2020,Belarus,Central and Eastern Europe,5.539899826,0.75258857,0.193607435,0.290755868,1.38713932,1.018854499,0.08993306,9.09,1.474,9379952.0
2021,Belarus,Central and Eastern Europe,5.534,0.56,0.199,0.326,1.007,1.124,0.07,7.33,1.483,9302585.0
2022,Belarus,Central and Eastern Europe,5.821,0.629,0.282,0.342,1.157,1.562,0.04,7.98,1.495,9228071.0
2015,Belgium,Western Europe,6.937,0.89667,0.2254,0.5845,1.28566,1.30782,0.2225,11.08,1.7,11274196.0
2016,Belgium,Western Europe,6.929,0.81959,0.26248,0.51354,1.05249,1.42539,0.2424,10.76,1.68,11331422.0
2017,Belgium,Western Europe,6.890999794,0.818091869,0.251343131,0.539770722,1.462312698,1.463780761,0.231503338,11.07,1.65,11375158.0
2018,Belgium,Western Europe,6.927,0.894,0.24,0.583,1.483,1.324,0.188,11.65,1.62,11427054.0
2019,Belgium,Western Europe,6.923,0.986,0.21,0.473,1.504,1.356,0.16,11.39,1.6,11488980.0
2020,Belgium,Western Europe,6.863500118,0.964901149,0.208724052,0.499805421,1.398677588,1.295842767,0.146966159,11.89,1.55,11538604.0
2021,Belgium,Western Europe,6.834,0.747,0.187,0.489,0.998,1.463,0.088,10.48,1.6,11586195.0
2022,Belgium,Western Europe,6.805,0.764,0.204,0.492,1.106,1.907,0.049,11.98,1.53,11685814.0
2015,Benin,Sub-Saharan Africa,3.34,0.3191,0.0801,0.4845,0.35386,0.28665,0.1826,28.27,5.319,10932783.0
2016,Benin,Sub-Saharan Africa,3.484,0.21028,0.06681,0.39747,0.10419,0.39499,0.2018,28.53,5.303,11260085.0
2017,Benin,Sub-Saharan Africa,3.657000065,0.209930211,0.060929015,0.425962776,0.435299844,0.431085408,0.207948461,28.34,5.269,11596779.0
2018,Benin,Sub-Saharan Africa,4.141,0.24,0.067,0.44,0.372,0.378,0.163,28.33,5.199,11940683.0
2019,Benin,Sub-Saharan Africa,4.883,0.397,0.082,0.349,0.437,0.393,0.175,28.17,5.13,12290444.0
2020,Benin,Sub-Saharan Africa,5.21600008,0.328062952,0.125931874,0.40583989,0.352428436,0.366244704,0.196670428,28.43,5.048,12643123.0
2021,Benin,Sub-Saharan Africa,5.045,0.196,0.178,0.457,0.058,0.507,0.166,28.7,4.973,12996895.0
2022,Benin,Sub-Saharan Africa,4.623,0.335,0.23,0.479,0.064,0.932,0.127,28.09,4.895,13352864.0
2015,Bolivia,Latin America and Caribbean,5.89,0.5392,0.088,0.57414,0.97841,0.68133,0.20536,21.23,2.886,11090085.0
2016,Bolivia,Latin America and Caribbean,5.822,0.4697,0.07746,0.50961,0.83779,0.79422,0.21698,20.87,2.829,11263015.0
2017,Bolivia,Latin America and Caribbean,5.822999954,0.47363025,0.060477726,0.558732927,1.227619052,0.833756566,0.225560725,20.95,2.777,11435533.0
2018,Bolivia,Latin America and Caribbean,5.752,0.508,0.054,0.606,1.223,0.751,0.141,20.55,2.73,11606905.0
2019,Bolivia,Latin America and Caribbean,5.779,0.706,0.064,0.511,1.209,0.776,0.137,20.88,2.688,11777315.0
2020,Bolivia,Latin America and Caribbean,5.747499943,0.662445664,0.072942637,0.5744645,1.142350554,0.730976343,0.138375074,21.34,2.651,11936162.0
2021,Bolivia,Latin America and Caribbean,5.716,0.486,0.064,0.6,0.782,0.842,0.138,20.8,2.618,12079472.0
2022,Bolivia,Latin America and Caribbean,5.6,0.555,0.064,0.627,0.88,1.256,0.112,20.68,2.584,12224110.0
2015,Bosnia and Herz.,Central and Eastern Europe,4.949,0.79081,0.00227,0.09245,0.91916,0.83223,0.24808,-999.0,1.289,3524324.0
2016,Bosnia and Herz.,Central and Eastern Europe,5.163,0.70766,0.0040884974,0.09511,0.64367,0.93383,0.29889,-999.0,1.324,3480986.0
2017,Bosnia and Herz.,Central and Eastern Europe,5.18200016,0.705186307,0.0040884974,0.204403177,1.069335938,0.982409418,0.328867495,-999.0,1.355,3440027.0
2018,Bosnia and Herz.,Central and Eastern Europe,5.129,0.758,0.0040884974,0.28,1.078,0.915,0.216,-999.0,1.384,3400129.0
2019,Bosnia and Herz.,Central and Eastern Europe,5.386,0.845,0.006,0.212,1.212,0.945,0.263,-999.0,1.368,3360711.0
2020,Bosnia and Herz.,Central and Eastern Europe,5.674099922,0.813928187,0.001172487,0.305365741,1.203986526,0.91839546,0.264005244,-999.0,1.359,3318407.0
2021,Bosnia and Herz.,Central and Eastern Europe,5.813,0.618,0.005,0.395,0.919,1.032,0.261,-999.0,1.35,3270943.0
2022,Bosnia and Herz.,Central and Eastern Europe,5.768,0.665,0.006,0.448,1.068,1.468,0.244,-999.0,1.346,3233526.0
2015,Botswana,Sub-Saharan Africa,4.332,0.04776,0.12474,0.49495,1.10464,0.99355,0.10461,22.65,2.942,2305171.0
2016,Botswana,Sub-Saharan Africa,3.974,0.34752,0.10769,0.44089,0.89186,1.09426,0.12425,22.67,2.93,2352416.0
2017,Botswana,Sub-Saharan Africa,3.766000032,0.341755509,0.098583199,0.505196333,1.221554995,1.122094154,0.099348448,22.11,2.91,2401840.0
2018,Botswana,Sub-Saharan Africa,3.59,0.417,0.092,0.557,1.174,1.017,0.042,22.3,2.903,2451409.0
2019,Botswana,Sub-Saharan Africa,3.488,0.538,0.1,0.455,1.145,1.041,0.025,22.98,2.883,2499702.0
2020,Botswana,Sub-Saharan Africa,3.478899956,0.494101733,0.101786368,0.50908941,1.08569479,0.997548997,0.033407487,22.06,2.836,2546402.0
2021,Botswana,Sub-Saharan Africa,3.467,0.34,0.088,0.539,0.724,1.099,0.027,21.74,2.791,2588423.0
2022,Botswana,Sub-Saharan Africa,3.471,0.28,0.102,0.571,0.815,1.503,0.012,22.0,2.754,2630296.0
2015,Brazil,Latin America and Caribbean,6.983,0.69702,0.17521,0.49049,1.23287,0.98124,0.14574,25.97,1.777,205188205.0
2016,Brazil,Latin America and Caribbean,6.952,0.61415,0.14166,0.40425,1.03938,1.08754,0.15776,25.84,1.709,206859578.0
2017,Brazil,Latin America and Caribbean,6.635000229,0.616552353,0.111092761,0.437453747,1.431306005,1.10735321,0.162349895,25.77,1.736,208504960.0
2018,Brazil,Latin America and Caribbean,6.419,0.675,0.088,0.493,1.474,0.986,0.11,25.59,1.749,210166592.0
2019,Brazil,Latin America and Caribbean,6.3,0.802,0.086,0.39,1.439,1.004,0.099,25.94,1.703,211782878.0
2020,Brazil,Latin America and Caribbean,6.375599861,0.766119063,0.106518604,0.483292729,1.363464117,0.952679873,0.131674588,25.93,1.649,213196304.0
2021,Brazil,Latin America and Caribbean,6.33,0.571,0.117,0.514,0.944,1.028,0.142,25.57,1.641,214326223.0
2022,Brazil,Latin America and Caribbean,6.293,0.615,0.134,0.546,1.044,1.462,0.131,25.54,1.626,215313498.0
2015,Bulgaria,Central and Eastern Europe,4.218,0.76649,0.00872,0.30587,1.10614,1.01216,0.11921,11.85,1.53,7177991.0
2016,Bulgaria,Central and Eastern Europe,4.217,0.67806,0.00615,0.21219,0.92542,1.11306,0.12793,11.9,1.54,7127822.0
2017,Bulgaria,Central and Eastern Europe,4.714000225,0.70821768,0.011051531,0.289231718,1.434379458,1.161459088,0.113177694,11.75,1.56,7075947.0
2018,Bulgaria,Central and Eastern Europe,4.933,0.712,0.009,0.359,1.515,1.054,0.064,12.34,1.56,7025037.0
2019,Bulgaria,Central and Eastern Europe,5.011,0.815,0.004,0.311,1.513,1.092,0.081,12.81,1.58,6975761.0
2020,Bulgaria,Central and Eastern Europe,5.101500034,0.777776897,0.00927450442857143,0.417820066,1.460578918,1.046554685,0.103833713,12.49,1.56,6934015.0
2021,Bulgaria,Central and Eastern Europe,5.266,0.583,0.005,0.494,1.055,1.181,0.125,11.97,1.58,6877743.0
2022,Bulgaria,Central and Eastern Europe,5.371,0.64,0.021,0.563,1.163,1.625,0.123,12.28,1.78,6465097.0
2015,Burkina Faso,Sub-Saharan Africa,3.587,0.27125,0.12832,0.39493,0.85188,0.25812,0.21747,-999.0,5.478,18718019.0
2016,Burkina Faso,Sub-Saharan Africa,3.739,0.21297,0.12533,0.3337,0.63054,0.31995,0.24353,-999.0,5.324,19275498.0
2017,Burkina Faso,Sub-Saharan Africa,4.032000065,0.215844259,0.120328106,0.324367851,1.043280005,0.350227714,0.250864685,-999.0,5.162,19835858.0
2018,Burkina Faso,Sub-Saharan Africa,4.424,0.254,0.128,0.312,1.097,0.314,0.175,-999.0,5.069,20392723.0
2019,Burkina Faso,Sub-Saharan Africa,4.587,0.38,0.113,0.255,1.056,0.331,0.177,-999.0,4.971,20951639.0
2020,Burkina Faso,Sub-Saharan Africa,4.768700123,0.312833875,0.126408055,0.322398156,0.9293859,0.302467644,0.186390609,-999.0,4.869,21522626.0
2021,Burkina Faso,Sub-Saharan Africa,4.834,0.179,0.122,0.381,0.472,0.364,0.182,-999.0,4.772,22100683.0
2022,Burkina Faso,Sub-Saharan Africa,4.67,0.32,0.126,0.382,0.565,0.779,0.186,-999.0,4.665,22673762.0
2015,Cambodia,Southeast Asia,3.819,0.61114,0.07247,0.66246,0.62736,0.46038,0.40359,27.8,2.55,15417523.0
2016,Cambodia,Southeast Asia,3.907,0.42494,0.08092,0.58852,0.5375,0.55604,0.40339,27.97,2.512,15624584.0
2017,Cambodia,Southeast Asia,4.168000221,0.429783404,0.068105951,0.633375823,1.006238341,0.601765096,0.385922968,27.45,2.473,15830689.0
2018,Cambodia,Southeast Asia,4.433,0.457,0.065,0.696,1.088,0.549,0.256,27.47,2.435,16025238.0
2019,Cambodia,Southeast Asia,4.7,0.637,0.062,0.609,1.122,0.574,0.232,27.99,2.402,16207746.0
2020,Cambodia,Southeast Asia,4.848400116,0.587904334,0.072837502,0.674940348,1.071426034,0.544634938,0.233342081,27.89,2.381,16396860.0
2021,Cambodia,Southeast Asia,4.83,0.426,0.061,0.702,0.68,0.603,0.21,27.44,2.344,16589023.0
2022,Cambodia,Southeast Asia,4.64,0.505,0.068,0.74,0.732,1.019,0.166,27.25,2.322,16767842.0
2015,Cameroon,Sub-Saharan Africa,4.252,0.23402,0.05786,0.49309,0.88767,0.4225,0.20618,24.94,4.832,23012646.0
2016,Cameroon,Sub-Saharan Africa,4.513,0.12698,0.06126,0.42736,0.62542,0.52497,0.2268,25.2,4.818,23711630.0
2017,Cameroon,Sub-Saharan Africa,4.695000172,0.132892117,0.051306631,0.430388749,0.946018219,0.564305365,0.236298457,24.93,4.774,24393181.0
2018,Cameroon,Sub-Saharan Africa,4.975,0.182,0.043,0.454,0.891,0.535,0.183,24.93,4.694,25076747.0
2019,Cameroon,Sub-Saharan Africa,5.044,0.331,0.037,0.381,0.91,0.549,0.187,24.87,4.623,25782341.0
2020,Cameroon,Sub-Saharan Africa,5.084899902,0.270189553,0.054393422,0.439242482,0.89972645,0.503958046,0.198020101,25.21,4.543,26491087.0
2021,Cameroon,Sub-Saharan Africa,5.142,0.159,0.058,0.425,0.556,0.543,0.205,25.2,4.463,27198628.0
2022,Cameroon,Sub-Saharan Africa,5.048,0.317,0.074,0.397,0.672,0.968,0.152,24.94,4.383,27914536.0
2015,Canada,North America and ANZ,7.427,0.90563,0.32957,0.63297,1.32261,1.32629,0.45811,-3.88,1.6,35704498.0
2016,Canada,North America and ANZ,7.404,0.8276,0.31329,0.5737,1.0961,1.44015,0.44834,-3.19,1.59,36110803.0
2017,Canada,North America and ANZ,7.315999985,0.834557652,0.287371516,0.611100912,1.481348991,1.479204416,0.435539722,-3.76,1.55,36545075.0
2018,Canada,North America and ANZ,7.328,0.896,0.291,0.653,1.532,1.33,0.321,-4.62,1.51,37072620.0
2019,Canada,North America and ANZ,7.278,1.039,0.308,0.584,1.505,1.365,0.285,-4.33,1.47,37618495.0
2020,Canada,North America and ANZ,7.23210001,1.022501945,0.351701856,0.644028127,1.435391903,1.301647663,0.28152892,-4.25,1.41,38028638.0
2021,Canada,North America and ANZ,7.103,0.798,0.335,0.648,1.044,1.447,0.246,-3.7,1.44,38239864.0
2022,Canada,North America and ANZ,7.025,0.783,0.368,0.659,1.188,1.886,0.217,-4.22,1.33,38939056.0
2015,Chad,Sub-Saharan Africa,3.667,0.1501,0.05269,0.23501,0.76062,0.34193,0.18386,27.69,6.706,14140274.0
2016,Chad,Sub-Saharan Africa,3.763,0.03824,0.04952,0.12807,0.63178,0.42214,0.18667,27.96,6.623,14592585.0
2017,Chad,Sub-Saharan Africa,3.936000109,0.041134715,0.053581882,0.162342027,0.953855872,0.438012987,0.21611385,27.59,6.537,15085884.0
2018,Chad,Sub-Saharan Africa,4.301,0.053,0.06,0.189,0.907,0.358,0.181,27.61,6.464,15604210.0
2019,Chad,Sub-Saharan Africa,4.35,0.192,0.078,0.174,0.766,0.35,0.198,27.76,6.412,16126866.0
2020,Chad,Sub-Saharan Africa,4.422699928,0.1087441,0.085755408,0.228601769,0.739118278,0.302287489,0.210805088,27.35,6.346,16644701.0
2021,Chad,Sub-Saharan Africa,4.355,0.11545983071428571,0.084,0.24,0.353,0.255,0.215,27.7,6.255,17179740.0
2022,Chad,Sub-Saharan Africa,4.251,0.225,0.077,0.18,0.506,0.662,0.182,27.28,6.215,17723315.0
2015,Chile,Latin America and Caribbean,6.67,0.85857,0.12869,0.44132,1.12447,1.10715,0.33363,9.74,1.737,17870124.0
2016,Chile,Latin America and Caribbean,6.705,0.81883,0.11451,0.37789,0.90587,1.2167,0.31595,9.75,1.676,18083879.0
2017,Chile,Latin America and Caribbean,6.65199995,0.819479704,0.082287982,0.376895279,1.284024954,1.25278461,0.326662421,9.77,1.598,18368577.0
2018,Chile,Latin America and Caribbean,6.476,0.808,0.061,0.431,1.331,1.131,0.197,9.47,1.564,18701450.0
2019,Chile,Latin America and Caribbean,6.444,0.92,0.056,0.357,1.369,1.159,0.187,9.56,1.545,19039485.0
2020,Chile,Latin America and Caribbean,6.228499889,0.889260828,0.06284935,0.417482227,1.323286891,1.096992493,0.155579001,9.87,1.537,19300315.0
2021,Chile,Latin America and Caribbean,6.172,0.678,0.07,0.438,0.946,1.2,0.159,9.81,1.537,19493184.0
2022,Chile,Latin America and Caribbean,6.172,0.748,0.069,0.46,1.08,1.651,0.124,9.37,1.539,19603733.0
2015,China,East Asia,5.14,0.81658,0.02781,0.51697,0.94675,0.89012,0.08185,-999.0,1.67,1379860000.0
2016,China,East Asia,5.245,0.73561,0.02745,0.44012,0.79381,1.0278,0.04959,-999.0,1.772,1387790000.0
2017,China,East Asia,5.272999763,0.741415501,0.022794275,0.472787708,1.160837412,1.081165791,0.028806841,-999.0,1.813,1396215000.0
2018,China,East Asia,5.246,0.799,0.103,0.597,1.142,0.989,0.029,-999.0,1.554,1402760000.0
2019,China,East Asia,5.191,0.893,0.1,0.521,1.125,1.029,0.058,-999.0,1.496,1407745000.0
2020,China,East Asia,5.123899937,0.867248535,0.117255554,0.601605117,1.132080674,0.990533412,0.079021044,-999.0,1.281,1411100000.0
2021,China,East Asia,5.339,0.665,0.117,0.636,0.785,1.061,0.093,-999.0,1.164,1412360000.0
2022,China,East Asia,5.585,0.705,0.142,0.656,0.958,1.508,0.099,-999.0,1.175,1412175000.0
2015,Colombia,Latin America and Caribbean,6.477,0.69077,0.0512,0.53466,1.24018,0.91861,0.18401,25.62,1.863,47119728.0
2016,Colombia,Latin America and Caribbean,6.481,0.59659,0.05399,0.44735,1.02169,1.03032,0.15626,25.62,1.843,47625955.0
2017,Colombia,Latin America and Caribbean,6.356999874,0.595027924,0.046668742,0.477487415,1.402182937,1.070622325,0.149014473,25.11,1.818,48351671.0
2018,Colombia,Latin America and Caribbean,6.26,0.635,0.039,0.531,1.439,0.96,0.099,25.03,1.787,49276961.0
2019,Colombia,Latin America and Caribbean,6.125,0.841,0.034,0.47,1.41,0.985,0.099,25.42,1.765,50187406.0
2020,Colombia,Latin America and Caribbean,6.163400173,0.810020149,0.04584837,0.526890039,1.33445096,0.93220371,0.092374094,25.35,1.737,50930662.0
2021,Colombia,Latin America and Caribbean,6.012,0.615,0.063,0.554,0.866,1.021,0.1,24.97,1.717,51516562.0
2022,Colombia,Latin America and Caribbean,5.781,0.72,0.077,0.545,0.929,1.452,0.087,24.71,1.692,51874024.0
2015,Congo,Sub-Saharan Africa,3.989,0.31051,0.11686,0.41466,0.6629,0.67866,0.12388,24.33,4.564,5064386.0
2016,Congo,Sub-Saharan Africa,4.236,0.28212,0.09753,0.37938,0.47799,0.77109,0.12077,24.54,4.487,5186824.0
2017,Congo,Sub-Saharan Africa,4.290999889,0.289957434,0.079618134,0.435025871,0.832044363,0.808964252,0.120852128,24.41,4.433,5312340.0
